date,spy,ust,bkx,eur,jpy,vix,wti
2010-01-05,113.63,3.7,44.66,1.44,92.5,19.35,81.74
2010-01-06,113.71,3.79,45.23,1.44,91.58,19.16,83.12
2010-01-07,114.19,3.8,47.09,1.44,92.36,19.06,82.6
2010-01-08,114.57,3.78,47.0,1.43,93.39,18.13,82.74
2010-01-11,114.73,3.81,47.03,1.44,92.66,17.55,82.54
2010-01-12,113.66,3.69,46.23,1.45,92.09,18.25,80.79
2010-01-13,114.62,3.74,46.94,1.45,91.08,17.85,79.66
2010-01-14,114.93,3.71,47.71,1.45,91.43,17.63,79.35
2010-01-15,113.64,3.64,46.68,1.45,91.27,17.91,77.96
2010-01-21,111.7,3.63,47.58,1.43,91.2,22.27,77.42
2010-01-22,109.21,3.56,46.32,1.41,91.19,27.31,75.84
2010-01-25,109.77,3.56,46.4,1.41,90.39,25.41,74.25
2010-01-26,109.31,3.6,45.38,1.41,89.81,24.55,74.9
2010-01-27,109.83,3.58,46.7,1.42,90.42,23.14,74.67
2010-01-28,108.57,3.58,46.84,1.41,89.63,23.73,73.64
2010-01-29,107.39,3.6,46.54,1.4,89.95,24.62,73.62
2010-02-01,109.06,3.55,47.2,1.4,89.78,22.59,72.85
2010-02-02,110.38,3.58,47.31,1.39,90.27,21.48,74.41
2010-02-03,109.83,3.57,46.2,1.39,90.76,21.6,77.21
2010-02-04,106.44,3.63,44.21,1.4,90.43,26.08,76.96
2010-02-05,106.66,3.53,44.8,1.39,90.84,26.11,73.13
2010-02-08,105.89,3.49,44.14,1.37,89.41,26.51,71.15
2010-02-09,107.22,3.5,44.58,1.37,89.22,26.0,71.87
2010-02-10,107.01,3.55,45.04,1.37,89.22,25.4,73.71
2010-02-11,108.13,3.61,45.07,1.38,89.77,23.96,74.48
2010-02-12,108.04,3.62,44.69,1.38,89.93,22.73,75.23
2010-02-16,109.74,3.59,46.0,1.37,89.81,22.25,74.11
2010-02-19,111.14,3.64,46.66,1.38,90.24,20.02,77.27
2010-02-22,111.16,3.69,47.55,1.36,91.05,19.94,78.97
2010-02-23,109.81,3.67,46.43,1.35,91.98,21.37,79.77
2010-02-24,110.82,3.69,47.49,1.36,91.54,20.27,80.04
2010-02-25,110.67,3.57,47.03,1.36,91.24,20.1,78.61
2010-02-26,110.74,3.58,47.45,1.35,90.16,19.5,79.75
2010-03-01,111.89,3.51,47.24,1.35,90.28,19.26,77.99
2010-03-02,112.2,3.48,47.55,1.35,89.27,19.06,79.72
2010-03-03,112.3,3.48,47.36,1.36,88.92,18.83,78.71
2010-03-04,112.64,3.48,47.43,1.36,89.15,18.72,79.62
2010-03-05,114.25,3.49,48.61,1.36,88.74,17.42,80.91
2010-03-08,114.27,3.47,48.69,1.37,88.57,17.79,80.21
2010-03-09,114.46,3.54,49.0,1.36,89.16,17.92,81.5
2010-03-10,114.97,3.56,50.06,1.36,90.22,18.57,81.85
2010-03-11,115.45,3.55,50.92,1.36,90.29,18.06,81.5
2010-03-12,115.46,3.58,50.46,1.36,89.99,17.58,82.07
2010-03-15,115.49,3.57,50.56,1.36,90.47,18.0,82.1
2010-03-16,116.41,3.56,51.41,1.37,90.65,17.69,81.26
2010-03-17,117.1,3.54,52.27,1.38,90.54,16.91,79.79
2010-03-18,117.04,3.5,51.63,1.37,90.32,16.62,81.75
2010-03-19,115.97,3.5,51.13,1.38,90.29,16.97,82.93
2010-03-22,116.59,3.52,51.71,1.37,90.4,16.87,82.16
2010-03-23,117.41,3.54,52.12,1.36,90.48,16.35,80.58
2010-03-24,116.84,3.52,52.34,1.35,90.52,17.55,81.26
2010-03-25,116.65,3.55,52.43,1.36,90.34,18.4,81.68
2010-03-26,116.58,3.7,52.3,1.35,90.37,17.77,80.29
2010-03-29,117.32,3.77,52.17,1.33,92.01,17.59,80.25
